ID	UpgradeCost	Property	UpgradeCost1	Property1	UpgradeCost2	Property2	UpgradeCost3	Property3	UpgradeCost4	Property4	UpgradeCost5	Property5
73	4,1911000	{1,1,1168},{1,14,59},{2,1,818},{2,14,30},{3,1,1168},{3,14,59},{4,1,1052},{4,14,30}	4,1911000	{1,3,234},{1,7,88},{2,4,292},{2,8,146},{3,3,292},{3,7,117},{4,3,292},{4,7,146}	4,1911000	{1,5,292},{1,6,292},{2,5,234},{2,6,234},{3,5,234},{3,6,176},{4,5,263},{4,6,234}	4,1911000	{1,11,88},{1,13,146},{2,11,88},{2,13,88},{3,11,146},{3,13,88},{4,11,146},{4,13,117}	4,1911000	{1,9,88},{1,19,88},{2,10,146},{2,19,146},{3,9,146},{3,19,117},{4,9,117},{4,19,117}	4,1911000	{1,2,409},{1,15,59},{2,2,584},{2,15,117},{3,2,409},{3,15,59},{4,2,468},{4,15,59}
74	4,2102200	{1,1,1184},{1,14,60},{2,1,829},{2,14,30},{3,1,1184},{3,14,60},{4,1,1066},{4,14,30}	4,2102200	{1,3,237},{1,7,89},{2,4,296},{2,8,148},{3,3,296},{3,7,119},{4,3,296},{4,7,148}	4,2102200	{1,5,296},{1,6,296},{2,5,237},{2,6,237},{3,5,237},{3,6,178},{4,5,267},{4,6,237}	4,2102200	{1,11,89},{1,13,148},{2,11,89},{2,13,89},{3,11,148},{3,13,89},{4,11,148},{4,13,119}	4,2102200	{1,9,89},{1,19,89},{2,10,148},{2,19,148},{3,9,148},{3,19,119},{4,9,119},{4,19,119}	4,2102200	{1,2,415},{1,15,60},{2,2,592},{2,15,119},{3,2,415},{3,15,60},{4,2,474},{4,15,60}
75	4,2312400	{1,1,1200},{1,14,60},{2,1,840},{2,14,30},{3,1,1200},{3,14,60},{4,1,1080},{4,14,30}	4,2312400	{1,3,240},{1,7,90},{2,4,300},{2,8,150},{3,3,300},{3,7,120},{4,3,300},{4,7,150}	4,2312400	{1,5,300},{1,6,300},{2,5,240},{2,6,240},{3,5,240},{3,6,180},{4,5,270},{4,6,240}	4,2312400	{1,11,90},{1,13,150},{2,11,90},{2,13,90},{3,11,150},{3,13,90},{4,11,150},{4,13,120}	4,2312400	{1,9,90},{1,19,90},{2,10,150},{2,19,150},{3,9,150},{3,19,120},{4,9,120},{4,19,120}	4,2312400	{1,2,420},{1,15,60},{2,2,600},{2,15,120},{3,2,420},{3,15,60},{4,2,480},{4,15,60}
76	4,2543600	{1,1,1216},{1,14,61},{2,1,852},{2,14,31},{3,1,1216},{3,14,61},{4,1,1095},{4,14,31}	4,2543600	{1,3,244},{1,7,92},{2,4,304},{2,8,152},{3,3,304},{3,7,122},{4,3,304},{4,7,152}	4,2543600	{1,5,304},{1,6,304},{2,5,244},{2,6,244},{3,5,244},{3,6,183},{4,5,274},{4,6,244}	4,2543600	{1,11,92},{1,13,152},{2,11,92},{2,13,92},{3,11,152},{3,13,92},{4,11,152},{4,13,122}	4,2543600	{1,9,92},{1,19,92},{2,10,152},{2,19,152},{3,9,152},{3,19,122},{4,9,122},{4,19,122}	4,2543600	{1,2,426},{1,15,61},{2,2,608},{2,15,122},{3,2,426},{3,15,61},{4,2,487},{4,15,61}
77	4,2798000	{1,1,1232},{1,14,62},{2,1,863},{2,14,31},{3,1,1232},{3,14,62},{4,1,1109},{4,14,31}	4,2798000	{1,3,247},{1,7,93},{2,4,308},{2,8,154},{3,3,308},{3,7,124},{4,3,308},{4,7,154}	4,2798000	{1,5,308},{1,6,308},{2,5,247},{2,6,247},{3,5,247},{3,6,185},{4,5,278},{4,6,247}	4,2798000	{1,11,93},{1,13,154},{2,11,93},{2,13,93},{3,11,154},{3,13,93},{4,11,154},{4,13,124}	4,2798000	{1,9,93},{1,19,93},{2,10,154},{2,19,154},{3,9,154},{3,19,124},{4,9,124},{4,19,124}	4,2798000	{1,2,432},{1,15,62},{2,2,616},{2,15,124},{3,2,432},{3,15,62},{4,2,493},{4,15,62}
78	4,3077800	{1,1,1248},{1,14,63},{2,1,874},{2,14,32},{3,1,1248},{3,14,63},{4,1,1124},{4,14,32}	4,3077800	{1,3,250},{1,7,94},{2,4,312},{2,8,156},{3,3,312},{3,7,125},{4,3,312},{4,7,156}	4,3077800	{1,5,312},{1,6,312},{2,5,250},{2,6,250},{3,5,250},{3,6,188},{4,5,281},{4,6,250}	4,3077800	{1,11,94},{1,13,156},{2,11,94},{2,13,94},{3,11,156},{3,13,94},{4,11,156},{4,13,125}	4,3077800	{1,9,94},{1,19,94},{2,10,156},{2,19,156},{3,9,156},{3,19,125},{4,9,125},{4,19,125}	4,3077800	{1,2,437},{1,15,63},{2,2,624},{2,15,125},{3,2,437},{3,15,63},{4,2,500},{4,15,63}
79	4,3385600	{1,1,1264},{1,14,64},{2,1,885},{2,14,32},{3,1,1264},{3,14,64},{4,1,1138},{4,14,32}	4,3385600	{1,3,253},{1,7,95},{2,4,316},{2,8,158},{3,3,316},{3,7,127},{4,3,316},{4,7,158}	4,3385600	{1,5,316},{1,6,316},{2,5,253},{2,6,253},{3,5,253},{3,6,190},{4,5,285},{4,6,253}	4,3385600	{1,11,95},{1,13,158},{2,11,95},{2,13,95},{3,11,158},{3,13,95},{4,11,158},{4,13,127}	4,3385600	{1,9,95},{1,19,95},{2,10,158},{2,19,158},{3,9,158},{3,19,127},{4,9,127},{4,19,127}	4,3385600	{1,2,443},{1,15,64},{2,2,632},{2,15,127},{3,2,443},{3,15,64},{4,2,506},{4,15,64}
80	4,3724200	{1,1,1280},{1,14,64},{2,1,896},{2,14,32},{3,1,1280},{3,14,64},{4,1,1152},{4,14,32}	4,3724200	{1,3,256},{1,7,96},{2,4,320},{2,8,160},{3,3,320},{3,7,128},{4,3,320},{4,7,160}	4,3724200	{1,5,320},{1,6,320},{2,5,256},{2,6,256},{3,5,256},{3,6,192},{4,5,288},{4,6,256}	4,3724200	{1,11,96},{1,13,160},{2,11,96},{2,13,96},{3,11,160},{3,13,96},{4,11,160},{4,13,128}	4,3724200	{1,9,96},{1,19,96},{2,10,160},{2,19,160},{3,9,160},{3,19,128},{4,9,128},{4,19,128}	4,3724200	{1,2,448},{1,15,64},{2,2,640},{2,15,128},{3,2,448},{3,15,64},{4,2,512},{4,15,64}
81	4,4096800	{1,1,1296},{1,14,65},{2,1,908},{2,14,33},{3,1,1296},{3,14,65},{4,1,1167},{4,14,33}	4,4096800	{1,3,260},{1,7,98},{2,4,324},{2,8,162},{3,3,324},{3,7,130},{4,3,324},{4,7,162}	4,4096800	{1,5,324},{1,6,324},{2,5,260},{2,6,260},{3,5,260},{3,6,195},{4,5,292},{4,6,260}	4,4096800	{1,11,98},{1,13,162},{2,11,98},{2,13,98},{3,11,162},{3,13,98},{4,11,162},{4,13,130}	4,4096800	{1,9,98},{1,19,98},{2,10,162},{2,19,162},{3,9,162},{3,19,130},{4,9,130},{4,19,130}	4,4096800	{1,2,454},{1,15,65},{2,2,648},{2,15,130},{3,2,454},{3,15,65},{4,2,519},{4,15,65}
82	4,4506400	{1,1,1312},{1,14,66},{2,1,919},{2,14,33},{3,1,1312},{3,14,66},{4,1,1181},{4,14,33}	4,4506400	{1,3,263},{1,7,99},{2,4,328},{2,8,164},{3,3,328},{3,7,132},{4,3,328},{4,7,164}	4,4506400	{1,5,328},{1,6,328},{2,5,263},{2,6,263},{3,5,263},{3,6,197},{4,5,296},{4,6,263}	4,4506400	{1,11,99},{1,13,164},{2,11,99},{2,13,99},{3,11,164},{3,13,99},{4,11,164},{4,13,132}	4,4506400	{1,9,99},{1,19,99},{2,10,164},{2,19,164},{3,9,164},{3,19,132},{4,9,132},{4,19,132}	4,4506400	{1,2,460},{1,15,66},{2,2,656},{2,15,132},{3,2,460},{3,15,66},{4,2,525},{4,15,66}
83	4,4957000	{1,1,1328},{1,14,67},{2,1,930},{2,14,34},{3,1,1328},{3,14,67},{4,1,1196},{4,14,34}	4,4957000	{1,3,266},{1,7,100},{2,4,332},{2,8,166},{3,3,332},{3,7,133},{4,3,332},{4,7,166}	4,4957000	{1,5,332},{1,6,332},{2,5,266},{2,6,266},{3,5,266},{3,6,200},{4,5,299},{4,6,266}	4,4957000	{1,11,100},{1,13,166},{2,11,100},{2,13,100},{3,11,166},{3,13,100},{4,11,166},{4,13,133}	4,4957000	{1,9,100},{1,19,100},{2,10,166},{2,19,166},{3,9,166},{3,19,133},{4,9,133},{4,19,133}	4,4957000	{1,2,465},{1,15,67},{2,2,664},{2,15,133},{3,2,465},{3,15,67},{4,2,532},{4,15,67}
84	4,5452800	{1,1,1344},{1,14,68},{2,1,941},{2,14,34},{3,1,1344},{3,14,68},{4,1,1210},{4,14,34}	4,5452800	{1,3,269},{1,7,101},{2,4,336},{2,8,168},{3,3,336},{3,7,135},{4,3,336},{4,7,168}	4,5452800	{1,5,336},{1,6,336},{2,5,269},{2,6,269},{3,5,269},{3,6,202},{4,5,303},{4,6,269}	4,5452800	{1,11,101},{1,13,168},{2,11,101},{2,13,101},{3,11,168},{3,13,101},{4,11,168},{4,13,135}	4,5452800	{1,9,101},{1,19,101},{2,10,168},{2,19,168},{3,9,168},{3,19,135},{4,9,135},{4,19,135}	4,5452800	{1,2,471},{1,15,68},{2,2,672},{2,15,135},{3,2,471},{3,15,68},{4,2,538},{4,15,68}
85	4,5998000	{1,1,1360},{1,14,68},{2,1,952},{2,14,34},{3,1,1360},{3,14,68},{4,1,1224},{4,14,34}	4,5998000	{1,3,272},{1,7,102},{2,4,340},{2,8,170},{3,3,340},{3,7,136},{4,3,340},{4,7,170}	4,5998000	{1,5,340},{1,6,340},{2,5,272},{2,6,272},{3,5,272},{3,6,204},{4,5,306},{4,6,272}	4,5998000	{1,11,102},{1,13,170},{2,11,102},{2,13,102},{3,11,170},{3,13,102},{4,11,170},{4,13,136}	4,5998000	{1,9,102},{1,19,102},{2,10,170},{2,19,170},{3,9,170},{3,19,136},{4,9,136},{4,19,136}	4,5998000	{1,2,476},{1,15,68},{2,2,680},{2,15,136},{3,2,476},{3,15,68},{4,2,544},{4,15,68}
86	4,6597800	{1,1,1376},{1,14,69},{2,1,964},{2,14,35},{3,1,1376},{3,14,69},{4,1,1239},{4,14,35}	4,6597800	{1,3,276},{1,7,104},{2,4,344},{2,8,172},{3,3,344},{3,7,138},{4,3,344},{4,7,172}	4,6597800	{1,5,344},{1,6,344},{2,5,276},{2,6,276},{3,5,276},{3,6,207},{4,5,310},{4,6,276}	4,6597800	{1,11,104},{1,13,172},{2,11,104},{2,13,104},{3,11,172},{3,13,104},{4,11,172},{4,13,138}	4,6597800	{1,9,104},{1,19,104},{2,10,172},{2,19,172},{3,9,172},{3,19,138},{4,9,138},{4,19,138}	4,6597800	{1,2,482},{1,15,69},{2,2,688},{2,15,138},{3,2,482},{3,15,69},{4,2,551},{4,15,69}
87	4,7257600	{1,1,1392},{1,14,70},{2,1,975},{2,14,35},{3,1,1392},{3,14,70},{4,1,1253},{4,14,35}	4,7257600	{1,3,279},{1,7,105},{2,4,348},{2,8,174},{3,3,348},{3,7,140},{4,3,348},{4,7,174}	4,7257600	{1,5,348},{1,6,348},{2,5,279},{2,6,279},{3,5,279},{3,6,209},{4,5,314},{4,6,279}	4,7257600	{1,11,105},{1,13,174},{2,11,105},{2,13,105},{3,11,174},{3,13,105},{4,11,174},{4,13,140}	4,7257600	{1,9,105},{1,19,105},{2,10,174},{2,19,174},{3,9,174},{3,19,140},{4,9,140},{4,19,140}	4,7257600	{1,2,488},{1,15,70},{2,2,696},{2,15,140},{3,2,488},{3,15,70},{4,2,557},{4,15,70}
88	4,7983400	{1,1,1408},{1,14,71},{2,1,986},{2,14,36},{3,1,1408},{3,14,71},{4,1,1268},{4,14,36}	4,7983400	{1,3,282},{1,7,106},{2,4,352},{2,8,176},{3,3,352},{3,7,141},{4,3,352},{4,7,176}	4,7983400	{1,5,352},{1,6,352},{2,5,282},{2,6,282},{3,5,282},{3,6,212},{4,5,317},{4,6,282}	4,7983400	{1,11,106},{1,13,176},{2,11,106},{2,13,106},{3,11,176},{3,13,106},{4,11,176},{4,13,141}	4,7983400	{1,9,106},{1,19,106},{2,10,176},{2,19,176},{3,9,176},{3,19,141},{4,9,141},{4,19,141}	4,7983400	{1,2,493},{1,15,71},{2,2,704},{2,15,141},{3,2,493},{3,15,71},{4,2,564},{4,15,71}
89	4,8781800	{1,1,1424},{1,14,72},{2,1,997},{2,14,36},{3,1,1424},{3,14,72},{4,1,1282},{4,14,36}	4,8781800	{1,3,285},{1,7,107},{2,4,356},{2,8,178},{3,3,356},{3,7,143},{4,3,356},{4,7,178}	4,8781800	{1,5,356},{1,6,356},{2,5,285},{2,6,285},{3,5,285},{3,6,214},{4,5,321},{4,6,285}	4,8781800	{1,11,107},{1,13,178},{2,11,107},{2,13,107},{3,11,178},{3,13,107},{4,11,178},{4,13,143}	4,8781800	{1,9,107},{1,19,107},{2,10,178},{2,19,178},{3,9,178},{3,19,143},{4,9,143},{4,19,143}	4,8781800	{1,2,499},{1,15,72},{2,2,712},{2,15,143},{3,2,499},{3,15,72},{4,2,570},{4,15,72}
90	4,9660000	{1,1,1440},{1,14,72},{2,1,1008},{2,14,36},{3,1,1440},{3,14,72},{4,1,1296},{4,14,36}	4,9660000	{1,3,288},{1,7,108},{2,4,360},{2,8,180},{3,3,360},{3,7,144},{4,3,360},{4,7,180}	4,9660000	{1,5,360},{1,6,360},{2,5,288},{2,6,288},{3,5,288},{3,6,216},{4,5,324},{4,6,288}	4,9660000	{1,11,108},{1,13,180},{2,11,108},{2,13,108},{3,11,180},{3,13,108},{4,11,180},{4,13,144}	4,9660000	{1,9,108},{1,19,108},{2,10,180},{2,19,180},{3,9,180},{3,19,144},{4,9,144},{4,19,144}	4,9660000	{1,2,504},{1,15,72},{2,2,720},{2,15,144},{3,2,504},{3,15,72},{4,2,576},{4,15,72}
91	4,10626000	{1,1,1456},{1,14,73},{2,1,1020},{2,14,37},{3,1,1456},{3,14,73},{4,1,1311},{4,14,37}	4,10626000	{1,3,292},{1,7,110},{2,4,364},{2,8,182},{3,3,364},{3,7,146},{4,3,364},{4,7,182}	4,10626000	{1,5,364},{1,6,364},{2,5,292},{2,6,292},{3,5,292},{3,6,219},{4,5,328},{4,6,292}	4,10626000	{1,11,110},{1,13,182},{2,11,110},{2,13,110},{3,11,182},{3,13,110},{4,11,182},{4,13,146}	4,10626000	{1,9,110},{1,19,110},{2,10,182},{2,19,182},{3,9,182},{3,19,146},{4,9,146},{4,19,146}	4,10626000	{1,2,510},{1,15,73},{2,2,728},{2,15,146},{3,2,510},{3,15,73},{4,2,583},{4,15,73}
92	4,11688600	{1,1,1472},{1,14,74},{2,1,1031},{2,14,37},{3,1,1472},{3,14,74},{4,1,1325},{4,14,37}	4,11688600	{1,3,295},{1,7,111},{2,4,368},{2,8,184},{3,3,368},{3,7,148},{4,3,368},{4,7,184}	4,11688600	{1,5,368},{1,6,368},{2,5,295},{2,6,295},{3,5,295},{3,6,221},{4,5,332},{4,6,295}	4,11688600	{1,11,111},{1,13,184},{2,11,111},{2,13,111},{3,11,184},{3,13,111},{4,11,184},{4,13,148}	4,11688600	{1,9,111},{1,19,111},{2,10,184},{2,19,184},{3,9,184},{3,19,148},{4,9,148},{4,19,148}	4,11688600	{1,2,516},{1,15,74},{2,2,736},{2,15,148},{3,2,516},{3,15,74},{4,2,589},{4,15,74}
93	4,12857400	{1,1,1488},{1,14,75},{2,1,1042},{2,14,38},{3,1,1488},{3,14,75},{4,1,1340},{4,14,38}	4,12857400	{1,3,298},{1,7,112},{2,4,372},{2,8,186},{3,3,372},{3,7,149},{4,3,372},{4,7,186}	4,12857400	{1,5,372},{1,6,372},{2,5,298},{2,6,298},{3,5,298},{3,6,224},{4,5,335},{4,6,298}	4,12857400	{1,11,112},{1,13,186},{2,11,112},{2,13,112},{3,11,186},{3,13,112},{4,11,186},{4,13,149}	4,12857400	{1,9,112},{1,19,112},{2,10,186},{2,19,186},{3,9,186},{3,19,149},{4,9,149},{4,19,149}	4,12857400	{1,2,521},{1,15,75},{2,2,744},{2,15,149},{3,2,521},{3,15,75},{4,2,596},{4,15,75}
94	4,14143200	{1,1,1504},{1,14,76},{2,1,1053},{2,14,38},{3,1,1504},{3,14,76},{4,1,1354},{4,14,38}	4,14143200	{1,3,301},{1,7,113},{2,4,376},{2,8,188},{3,3,376},{3,7,151},{4,3,376},{4,7,188}	4,14143200	{1,5,376},{1,6,376},{2,5,301},{2,6,301},{3,5,301},{3,6,226},{4,5,339},{4,6,301}	4,14143200	{1,11,113},{1,13,188},{2,11,113},{2,13,113},{3,11,188},{3,13,113},{4,11,188},{4,13,151}	4,14143200	{1,9,113},{1,19,113},{2,10,188},{2,19,188},{3,9,188},{3,19,151},{4,9,151},{4,19,151}	4,14143200	{1,2,527},{1,15,76},{2,2,752},{2,15,151},{3,2,527},{3,15,76},{4,2,602},{4,15,76}
95	4,15557400	{1,1,1520},{1,14,76},{2,1,1064},{2,14,38},{3,1,1520},{3,14,76},{4,1,1368},{4,14,38}	4,15557400	{1,3,304},{1,7,114},{2,4,380},{2,8,190},{3,3,380},{3,7,152},{4,3,380},{4,7,190}	4,15557400	{1,5,380},{1,6,380},{2,5,304},{2,6,304},{3,5,304},{3,6,228},{4,5,342},{4,6,304}	4,15557400	{1,11,114},{1,13,190},{2,11,114},{2,13,114},{3,11,190},{3,13,114},{4,11,190},{4,13,152}	4,15557400	{1,9,114},{1,19,114},{2,10,190},{2,19,190},{3,9,190},{3,19,152},{4,9,152},{4,19,152}	4,15557400	{1,2,532},{1,15,76},{2,2,760},{2,15,152},{3,2,532},{3,15,76},{4,2,608},{4,15,76}
96	4,17113200	{1,1,1536},{1,14,77},{2,1,1076},{2,14,39},{3,1,1536},{3,14,77},{4,1,1383},{4,14,39}	4,17113200	{1,3,308},{1,7,116},{2,4,384},{2,8,192},{3,3,384},{3,7,154},{4,3,384},{4,7,192}	4,17113200	{1,5,384},{1,6,384},{2,5,308},{2,6,308},{3,5,308},{3,6,231},{4,5,346},{4,6,308}	4,17113200	{1,11,116},{1,13,192},{2,11,116},{2,13,116},{3,11,192},{3,13,116},{4,11,192},{4,13,154}	4,17113200	{1,9,116},{1,19,116},{2,10,192},{2,19,192},{3,9,192},{3,19,154},{4,9,154},{4,19,154}	4,17113200	{1,2,538},{1,15,77},{2,2,768},{2,15,154},{3,2,538},{3,15,77},{4,2,615},{4,15,77}
97	4,18824600	{1,1,1552},{1,14,78},{2,1,1087},{2,14,39},{3,1,1552},{3,14,78},{4,1,1397},{4,14,39}	4,18824600	{1,3,311},{1,7,117},{2,4,388},{2,8,194},{3,3,388},{3,7,156},{4,3,388},{4,7,194}	4,18824600	{1,5,388},{1,6,388},{2,5,311},{2,6,311},{3,5,311},{3,6,233},{4,5,350},{4,6,311}	4,18824600	{1,11,117},{1,13,194},{2,11,117},{2,13,117},{3,11,194},{3,13,117},{4,11,194},{4,13,156}	4,18824600	{1,9,117},{1,19,117},{2,10,194},{2,19,194},{3,9,194},{3,19,156},{4,9,156},{4,19,156}	4,18824600	{1,2,544},{1,15,78},{2,2,776},{2,15,156},{3,2,544},{3,15,78},{4,2,621},{4,15,78}
98	4,20707000	{1,1,1568},{1,14,79},{2,1,1098},{2,14,40},{3,1,1568},{3,14,79},{4,1,1412},{4,14,40}	4,20707000	{1,3,314},{1,7,118},{2,4,392},{2,8,196},{3,3,392},{3,7,157},{4,3,392},{4,7,196}	4,20707000	{1,5,392},{1,6,392},{2,5,314},{2,6,314},{3,5,314},{3,6,236},{4,5,353},{4,6,314}	4,20707000	{1,11,118},{1,13,196},{2,11,118},{2,13,118},{3,11,196},{3,13,118},{4,11,196},{4,13,157}	4,20707000	{1,9,118},{1,19,118},{2,10,196},{2,19,196},{3,9,196},{3,19,157},{4,9,157},{4,19,157}	4,20707000	{1,2,549},{1,15,79},{2,2,784},{2,15,157},{3,2,549},{3,15,79},{4,2,628},{4,15,79}
99	4,22777800	{1,1,1584},{1,14,80},{2,1,1109},{2,14,40},{3,1,1584},{3,14,80},{4,1,1426},{4,14,40}	4,22777800	{1,3,317},{1,7,119},{2,4,396},{2,8,198},{3,3,396},{3,7,159},{4,3,396},{4,7,198}	4,22777800	{1,5,396},{1,6,396},{2,5,317},{2,6,317},{3,5,317},{3,6,238},{4,5,357},{4,6,317}	4,22777800	{1,11,119},{1,13,198},{2,11,119},{2,13,119},{3,11,198},{3,13,119},{4,11,198},{4,13,159}	4,22777800	{1,9,119},{1,19,119},{2,10,198},{2,19,198},{3,9,198},{3,19,159},{4,9,159},{4,19,159}	4,22777800	{1,2,555},{1,15,80},{2,2,792},{2,15,159},{3,2,555},{3,15,80},{4,2,634},{4,15,80}
