ID	PartType	PartName	PrimaryAttribute	Number	AdditionAttr	SuitAttr	SuitId
11240145	4	40级橙色战士项链	{3,236,473},{6,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	0	-1
11250145	5	40级橙色战士腰带	{1,1184,2368},{5,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	0	-1
11260145	6	40级橙色战士手镯	{3,236,473},{5,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	0	-1
11270145	7	40级橙色战士鞋子	{1,1184,2368},{6,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	0	-1
11280145	8	40级橙色战士戒指	{2,1243,2486},{7,177,355}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	0	-1
11210155	1	40级橙色战士头盔（套装）	{5,592,1184},{6,592,1184}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	9
11220155	2	40级橙色战士武器（套装）	{3,710,1420},{7,266,532}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	10
11230155	3	40级橙色战士衣服（套装）	{1,3552,7104},{2,828,1657}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	9
11240155	4	40级橙色战士项链（套装）	{3,236,473},{6,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	10
11250155	5	40级橙色战士腰带（套装）	{1,1184,2368},{5,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	9
11260155	6	40级橙色战士手镯（套装）	{3,236,473},{5,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	10
11270155	7	40级橙色战士鞋子（套装）	{1,1184,2368},{6,444,888}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	9
11280155	8	40级橙色战士戒指（套装）	{2,1243,2486},{7,177,355}	4,8400,5,1600	{1000,1,592,2960},{300,1,592,2960},{100,1,592,2960},{1000,2,208,1036},{300,2,208,1036},{100,2,208,1036},{1000,3,119,592},{300,3,119,592},{100,3,119,592},{1000,4,119,592},{300,4,119,592},{100,4,119,592},{1000,5,148,740},{300,5,148,740},{100,5,148,740},{1000,6,148,740},{300,6,148,740},{100,6,148,740},{1000,7,45,222},{300,7,45,222},{100,7,45,222},{1000,8,45,222},{300,8,45,222},{100,8,45,222},{1000,9,45,222},{300,9,45,222},{100,9,45,222},{1000,10,45,222},{300,10,45,222},{100,10,45,222},{1000,11,45,222},{300,11,45,222},{100,11,45,222},{1000,13,74,370},{300,13,74,370},{100,13,74,370},{1000,14,74,370},{300,14,74,370},{100,14,74,370},{1000,15,37,185},{300,15,37,185},{100,15,37,185},{1000,16,74,370},{300,16,74,370},{100,16,74,370},{1000,19,45,222},{300,19,45,222},{100,19,45,222}	1	10
11210164	1	50级紫色战士头盔	{5,704,1408},{6,704,1408}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11220164	2	50级紫色战士武器	{3,844,1689},{7,316,633}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11230164	3	50级紫色战士衣服	{1,4224,8448},{2,985,1971}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11240164	4	50级紫色战士项链	{3,281,563},{6,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11250164	5	50级紫色战士腰带	{1,1408,2816},{5,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11260164	6	50级紫色战士手镯	{3,281,563},{5,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11270164	7	50级紫色战士鞋子	{1,1408,2816},{6,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11280164	8	50级紫色战士戒指	{2,1478,2956},{7,211,422}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	0	-1
11210174	1	50级紫色战士头盔（套装）	{5,704,1408},{6,704,1408}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	1	17
11220174	2	50级紫色战士武器（套装）	{3,844,1689},{7,316,633}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	1	18
11230174	3	50级紫色战士衣服（套装）	{1,4224,8448},{2,985,1971}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	1	17
11240174	4	50级紫色战士项链（套装）	{3,281,563},{6,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	1	18
11250174	5	50级紫色战士腰带（套装）	{1,1408,2816},{5,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	1	17
11260174	6	50级紫色战士手镯（套装）	{3,281,563},{5,528,1056}	3,8400,4,1600	{1000,1,704,3520},{300,1,704,3520},{100,1,704,3520},{1000,2,247,1232},{300,2,247,1232},{100,2,247,1232},{1000,3,141,704},{300,3,141,704},{100,3,141,704},{1000,4,141,704},{300,4,141,704},{100,4,141,704},{1000,5,176,880},{300,5,176,880},{100,5,176,880},{1000,6,176,880},{300,6,176,880},{100,6,176,880},{1000,7,53,264},{300,7,53,264},{100,7,53,264},{1000,8,53,264},{300,8,53,264},{100,8,53,264},{1000,9,53,264},{300,9,53,264},{100,9,53,264},{1000,10,53,264},{300,10,53,264},{100,10,53,264},{1000,11,53,264},{300,11,53,264},{100,11,53,264},{1000,13,88,440},{300,13,88,440},{100,13,88,440},{1000,14,88,440},{300,14,88,440},{100,14,88,440},{1000,15,44,220},{300,15,44,220},{100,15,44,220},{1000,16,88,440},{300,16,88,440},{100,16,88,440},{1000,19,53,264},{300,19,53,264},{100,19,53,264}	1	18
